ATOMSPRING

mass 1: 1.0079 amu
mass 2: 79.904 amu
K: 410 N/m
x0: 1.41e-10 m 
time step: 1e-16s

Time 	Position 2 (m)
1e-16	1.4805e-10
2e-16	1.48049e-10
3e-16	1.48049e-10
4e-16	1.48048e-10
5e-16	1.48047e-10
6e-16	1.48045e-10
7e-16	1.48044e-10
8e-16	1.48042e-10
9e-16	1.4804e-10
1e-15	1.48038e-10
1.1e-15	1.48036e-10
1.2e-15	1.48034e-10
1.3e-15	1.48031e-10
1.4e-15	1.48028e-10
1.5e-15	1.48025e-10
1.6e-15	1.48022e-10
1.7e-15	1.48019e-10
1.8e-15	1.48015e-10
1.9e-15	1.48012e-10
2e-15	1.48008e-10
2.1e-15	1.48004e-10
2.2e-15	1.48e-10
2.3e-15	1.47996e-10
2.4e-15	1.47992e-10
2.5e-15	1.47988e-10
2.6e-15	1.47984e-10
2.7e-15	1.4798e-10
2.8e-15	1.47975e-10
2.9e-15	1.47971e-10
3e-15	1.47967e-10
3.1e-15	1.47962e-10
3.2e-15	1.47958e-10
3.3e-15	1.47954e-10
3.4e-15	1.47949e-10
3.5e-15	1.47945e-10
3.6e-15	1.47941e-10
3.7e-15	1.47936e-10
3.8e-15	1.47932e-10
3.9e-15	1.47928e-10
4e-15	1.47924e-10
4.1e-15	1.4792e-10
4.2e-15	1.47917e-10
4.3e-15	1.47913e-10
4.4e-15	1.47909e-10
4.5e-15	1.47906e-10
4.6e-15	1.47903e-10
4.7e-15	1.47899e-10
4.8e-15	1.47896e-10
4.9e-15	1.47894e-10
5e-15	1.47891e-10
5.1e-15	1.47889e-10
5.2e-15	1.47886e-10
5.3e-15	1.47884e-10
5.4e-15	1.47882e-10
5.5e-15	1.47881e-10
5.6e-15	1.47879e-10
5.7e-15	1.47878e-10
5.8e-15	1.47877e-10
5.9e-15	1.47876e-10
6e-15	1.47875e-10
6.1e-15	1.47875e-10
6.2e-15	1.47874e-10
6.3e-15	1.47874e-10
6.4e-15	1.47875e-10
6.5e-15	1.47875e-10
6.6e-15	1.47876e-10
6.7e-15	1.47876e-10
6.8e-15	1.47878e-10
6.9e-15	1.47879e-10
7e-15	1.4788e-10
7.1e-15	1.47882e-10
7.2e-15	1.47884e-10
7.3e-15	1.47886e-10
7.4e-15	1.47888e-10
7.5e-15	1.47891e-10
7.6e-15	1.47893e-10
7.7e-15	1.47896e-10
7.8e-15	1.47899e-10
7.9e-15	1.47902e-10
8e-15	1.47905e-10
8.1e-15	1.47909e-10
8.2e-15	1.47912e-10
8.3e-15	1.47916e-10
8.4e-15	1.4792e-10
8.5e-15	1.47924e-10
8.6e-15	1.47928e-10
8.7e-15	1.47932e-10
8.8e-15	1.47936e-10
8.9e-15	1.4794e-10
9e-15	1.47944e-10
9.1e-15	1.47949e-10
9.2e-15	1.47953e-10
9.3e-15	1.47957e-10
9.4e-15	1.47962e-10
9.5e-15	1.47966e-10
9.6e-15	1.4797e-10
9.7e-15	1.47975e-10
9.8e-15	1.47979e-10
9.9e-15	1.47983e-10
1e-14	1.47988e-10
1.01e-14	1.47992e-10
1.02e-14	1.47996e-10
1.03e-14	1.48e-10
1.04e-14	1.48004e-10
1.05e-14	1.48008e-10
1.06e-14	1.48011e-10
1.07e-14	1.48015e-10
1.08e-14	1.48018e-10
1.09e-14	1.48022e-10
1.1e-14	1.48025e-10
1.11e-14	1.48028e-10
1.12e-14	1.48031e-10
1.13e-14	1.48033e-10
1.14e-14	1.48036e-10
1.15e-14	1.48038e-10
1.16e-14	1.4804e-10
1.17e-14	1.48042e-10
1.18e-14	1.48044e-10
1.19e-14	1.48045e-10
1.2e-14	1.48047e-10
1.21e-14	1.48048e-10
1.22e-14	1.48049e-10
1.23e-14	1.48049e-10
1.24e-14	1.4805e-10
1.25e-14	1.4805e-10
1.26e-14	1.4805e-10
1.27e-14	1.4805e-10
1.28e-14	1.48049e-10
1.29e-14	1.48049e-10
1.3e-14	1.48048e-10
1.31e-14	1.48047e-10
1.32e-14	1.48046e-10
1.33e-14	1.48044e-10
1.34e-14	1.48043e-10
1.35e-14	1.48041e-10
1.36e-14	1.48039e-10
1.37e-14	1.48036e-10
1.38e-14	1.48034e-10
1.39e-14	1.48031e-10
1.4e-14	1.48028e-10
1.41e-14	1.48026e-10
1.42e-14	1.48022e-10
1.43e-14	1.48019e-10
1.44e-14	1.48016e-10
1.45e-14	1.48012e-10
1.46e-14	1.48009e-10
1.47e-14	1.48005e-10
1.48e-14	1.48001e-10
1.49e-14	1.47997e-10
1.5e-14	1.47993e-10
1.51e-14	1.47989e-10
1.52e-14	1.47985e-10
1.53e-14	1.4798e-10
1.54e-14	1.47976e-10
1.55e-14	1.47972e-10
1.56e-14	1.47967e-10
1.57e-14	1.47963e-10
1.58e-14	1.47959e-10
1.59e-14	1.47954e-10
1.6e-14	1.4795e-10
1.61e-14	1.47946e-10
1.62e-14	1.47941e-10
1.63e-14	1.47937e-10
1.64e-14	1.47933e-10
1.65e-14	1.47929e-10
1.66e-14	1.47925e-10
1.67e-14	1.47921e-10
1.68e-14	1.47917e-10
1.69e-14	1.47913e-10
1.7e-14	1.4791e-10
1.71e-14	1.47906e-10
1.72e-14	1.47903e-10
1.73e-14	1.479e-10
1.74e-14	1.47897e-10
1.75e-14	1.47894e-10
1.76e-14	1.47891e-10
1.77e-14	1.47889e-10
1.78e-14	1.47887e-10
1.79e-14	1.47884e-10
1.8e-14	1.47882e-10
1.81e-14	1.47881e-10
1.82e-14	1.47879e-10
1.83e-14	1.47878e-10
1.84e-14	1.47877e-10
1.85e-14	1.47876e-10
1.86e-14	1.47875e-10
1.87e-14	1.47875e-10
1.88e-14	1.47874e-10
1.89e-14	1.47874e-10
1.9e-14	1.47875e-10
1.91e-14	1.47875e-10
1.92e-14	1.47876e-10
1.93e-14	1.47876e-10
1.94e-14	1.47877e-10
1.95e-14	1.47879e-10
1.96e-14	1.4788e-10
1.97e-14	1.47882e-10
1.98e-14	1.47884e-10
1.99e-14	1.47886e-10
2e-14	1.47888e-10
2.01e-14	1.4789e-10
2.02e-14	1.47893e-10
2.03e-14	1.47896e-10
2.04e-14	1.47899e-10
2.05e-14	1.47902e-10
2.06e-14	1.47905e-10
2.07e-14	1.47908e-10
2.08e-14	1.47912e-10
2.09e-14	1.47916e-10
2.1e-14	1.47919e-10
2.11e-14	1.47923e-10
2.12e-14	1.47927e-10
2.13e-14	1.47931e-10
2.14e-14	1.47935e-10
2.15e-14	1.47939e-10
2.16e-14	1.47944e-10
2.17e-14	1.47948e-10
2.18e-14	1.47952e-10
2.19e-14	1.47957e-10
2.2e-14	1.47961e-10
2.21e-14	1.47965e-10
2.22e-14	1.4797e-10
2.23e-14	1.47974e-10
2.24e-14	1.47979e-10
2.25e-14	1.47983e-10
2.26e-14	1.47987e-10
2.27e-14	1.47991e-10
2.28e-14	1.47995e-10
2.29e-14	1.47999e-10
